idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
34,50000,Própria,2,Personal,B,12000,NULL,0,0.24,N,9
23,54000,Aluguel,3,"Pagamento de débitos",A,6250,6.99,0,0.12,N,3
27,42000,Aluguel,2,Médico,A,6550,7.88,0,0.16,N,8
29,84000,Própria,11,Educativo,B,15000,12.18,0,0.18,N,10
29,35000,Aluguel,2,Educativo,A,3600,8.94,0,0.1,N,10
22,55000,Aluguel,0,"Pagamento de débitos",D,15000,14.83,1,0.27,S,4
25,40800,Própria,5,"Melhora do lar",E,7000,19.03,1,0.17,N,4
30,120000,Hipoteca,9,"Pagamento de débitos",B,18400,9.63,0,0.15,N,9
21,47580,Hipoteca,5,Educativo,A,14000,6.03,0,0.29,N,2
28,60000,Aluguel,2,"Pagamento de débitos",B,3000,11.49,0,0.05,N,5
57,53000,Hipoteca,1,Personal,C,5800,13.16,0,0.11,S,30
24,49700,Aluguel,3,Médico,E,15000,15.68,1,0.3,N,4
25,120000,Hipoteca,7,Médico,A,4000,5.42,0,0.03,N,3
43,50000,Aluguel,3,"Melhora do lar",C,8000,12.84,0,0.16,S,17
44,83000,Outro,2,Personal,D,12000,16,1,0.14,S,12
29,91000,Aluguel,10,Médico,B,16800,NULL,0,0.18,N,5
37,117000,Aluguel,10,Educativo,A,10000,7.66,0,0.09,N,11
24,100000,Aluguel,5,"Melhora do lar",A,NULL,13.85,NULL,0.08,S,6
30,100000,Aluguel,13,"Pagamento de débitos",A,12000,7.88,0,0.12,N,9
30,38000,Aluguel,0,Médico,A,12800,5.79,1,0.34,N,8
62,62050,Hipoteca,29,Médico,C,25000,13.43,1,0.34,S,28
23,86670,Hipoteca,4,Personal,B,20000,12.53,0,0.23,N,2
